Cristiano Lupatelli;1978;25/08/2012 GK FIORENTINA
Norberto Murara Neto;1989;25/08/2012 GK FIORENTINA
Stefan Andrei Radu;1986;25/08/2012 DF LAZIO
Luca Lezzerini;1995;25/08/2012 GK FIORENTINA
Gonzalo Javier Prado Rodriguez;1984;25/08/2012 DF FIORENTINA
Nenad Tomovic;1987;25/08/2012 DF FIORENTINA
Facundo Sebastian Roncaglia;1987;25/08/2012 DF FIORENTINA
Michele Camporese;1992;25/08/2012 DF FIORENTINA
Ahmed El Sayed Hegazy;1991;25/08/2012 DF FIORENTINA
Alberto Aquilani;1984;25/08/2012 MF FIORENTINA
David Marcelo Cortes Pizarro;1979;25/08/2012 MF FIORENTINA
Matias Ariel Fernandez;1986;25/08/2012 MF FIORENTINA
Ezequiel Cristian Llama;1986;25/08/2012 MF FIORENTINA
Stevan Jovetic;1989;25/08/2012 MF FIORENTINA
Adem Ljajic;1991;25/08/2012 MF FIORENTINA
Juan Guillermo Cuadrado;1988;25/08/2012 MF FIORENTINA
Mohamed Lamine Gillan Sissoko;1985;01/01/2013 MF FIORENTINA
Iglesias Borja Valero;1985;25/08/2012 MF FIORENTINA
Orestes Caldeira Souza Romulo;1987;25/08/2012 MF FIORENTINA
Rafal Wolski;1992;01/01/2013 MF FIORENTINA
Saverio Madrigali;1995;25/08/2012 MF FIORENTINA
Giuseppe Rossi;1987;01/01/2012 FW SEVILLA F.C.;01/01/2013 FW FIORENTINA
Stefan Savic;1991;25/08/2012 DF FIORENTINA
Nii Nortey Ashong;1994;25/08/2012 DF FIORENTINA
Luca Toni;1977;25/08/2012 FW FIORENTINA
Mounir El Hamdaoui;1984;25/08/2012 FW FIORENTINA
Marcelo Alejandro Paez Larrondo;1988;01/01/2013 FW FIORENTINA
Federico Bernardeschi;1994;25/08/2012 FW FIORENTINA
Federico Marchetti;1983;25/08/2012 GK LAZIO
Giulio Migliaccio;1981;25/08/2012 MF FIORENTINA
Albano Benjamin Bizzarri;1977;25/08/2012 GK LAZIO
Tiziano Scarfagna;1994;25/08/2012 GK LAZIO
Thomas Strakosha;1995;25/08/2012 GK LAZIO
Guido Guerrieri;1996;25/08/2012 GK LAZIO
Marius Stankevicius;1981;20/03/2013 DF LAZIO
Modibo Diakite;1987;20/03/2013 DF LAZIO
Abdoulay Konko;1984;20/03/2013 DF LAZIO
Senad Lulic;1986;20/03/2013 DF LAZIO
Giuseppe Biava;1977;20/03/2013 DF LAZIO
Michael Ciani;1984;20/03/2013 DF LAZIO
Haris Seferovic;1992;25/08/2012 FW FIORENTINA
Andre' Goncalves Dias;1979;20/03/2013 DF LAZIO
Luis Pedro Cavanda;1990;20/03/2013 DF LAZIO
Emiliano Viviano;1985;25/08/2012 GK FIORENTINA
Cristian Brocchi;1976;20/03/2013 MF LAZIO
Lorik Cana;1983;20/03/2013 MF LAZIO
Cristian Daniel Ledesma;1982;20/03/2013 MF LAZIO
Antonio Candreva;1987;20/03/2013 MF LAZIO
Bruno Alexandre Marques Pereirinha;1988;20/03/2013 MF LAZIO
Honorato Campos Ederson;1986;20/03/2013 MF LAZIO
Stefano Mauri;1980;20/03/2013 MF LAZIO
Alvaro Rafael Luengo Gonzalez;1984;20/03/2013 MF LAZIO
Anderson Carvalho Hernanes;1985;20/03/2013 MF LAZIO
Ogenyi Eddy Onazi;1992;20/03/2013 MF LAZIO
Danilo Cataldi;1994;20/03/2013 MF LAZIO
Louis Saha;1978;20/03/2013 FW LAZIO
Miroslav Klose;1978;20/03/2013 FW LAZIO
Libor Kozak;1989;20/03/2013 FW LAZIO
Mauro Matias Zarate;1987;20/03/2013 FW LAZIO
Sergio Floccari;1981;20/03/2013 FW LAZIO
Antonio Rozzi;1994;20/03/2013 FW LAZIO
Cristiano Lombardi;1995;20/03/2013 FW LAZIO
Giorgio Frezzolini;1976;20/03/2013 GK ATALANTA
Manuel Pasqual;1982;25/08/2012 DF FIORENTINA
Marvin Compper;1985;01/01/2013 DF FIORENTINA
Andrea Consigli;1987;20/03/2013 GK ATALANTA
Ciro Polito;1979;20/03/2013 GK ATALANTA
Przemyslaw Franckowiak;1994;20/03/2013 GK ATALANTA
Lionel Sebastian Scaloni;1978;20/03/2013 DF ATALANTA
Guglielmo Stendardo;1981;20/03/2013 DF ATALANTA
Gianpaolo Bellini;1980;20/03/2013 DF ATALANTA
Stefano Lucchini;1980;20/03/2013 DF ATALANTA
Daniele Capelli;1986;20/03/2013 DF ATALANTA
Davide Brivio;1988;20/03/2013 DF ATALANTA
Michele Canini;1985;20/03/2013 DF ATALANTA
Leonardo Capezzi;1995;25/08/2012 MF FIORENTINA
Michele Ferri;1981;20/03/2013 DF ATALANTA
Matteo Contini;1980;20/03/2013 DF ATALANTA
Cristian Raimondi;1981;20/03/2013 DF ATALANTA
Cristiano Del Grosso;1983;20/03/2013 DF ATALANTA
Luigi Giorgi;1987;20/03/2013 MF ATALANTA
Ivan Radovanovic;1988;20/03/2013 MF ATALANTA
Carlos Emilio Tello Carmona;1987;20/03/2013 MF ATALANTA
Franco Brienza;1979;20/03/2013 MF ATALANTA
Davide Biondini;1983;20/03/2013 MF ATALANTA
Giacomo Bonaventura;1989;20/03/2013 MF ATALANTA
Riccardo Cazzola;1985;20/03/2013 MF ATALANTA
Luca Cigarini;1986;20/03/2013 MF ATALANTA
James Troisi;1988;20/03/2013 MF ATALANTA
Maximiliano Nicolas Moralez;1987;20/03/2013 MF ATALANTA
Antonio Palma;1994;20/03/2013 MF ATALANTA
Roberto Gagliardini;1994;20/03/2013 MF ATALANTA
Igor Budan;1980;20/03/2013 FW ATALANTA
Guido Marilungo;1989;20/03/2013 FW ATALANTA
German Gustavo Denis;1981;20/03/2013 FW ATALANTA
Giuseppe De Luca;1991;20/03/2013 FW ATALANTA
Facundo Manuel Carlos Parra;1985;20/03/2013 FW ATALANTA
Marko Livaja;1993;20/03/2013 FW ATALANTA
Gianluca Curci;1985;20/03/2013 GK BOLOGNA
Federico Agliardi;1983;20/03/2013 GK BOLOGNA
Filippo Lombardi;1990;20/03/2013 GK BOLOGNA
Dejan Stojanovic;1993;20/03/2013 GK BOLOGNA
Gyorgy Gyuri Garics;1984;20/03/2013 DF BOLOGNA
Marco Motta;1986;20/03/2013 DF BOLOGNA
Cesare Natali;1979;20/03/2013 DF BOLOGNA
Mikael Antonsson;1981;20/03/2013 DF BOLOGNA
Archimede Morleo;1983;20/03/2013 DF BOLOGNA
Nicolo' Cherubin;1986;20/03/2013 DF BOLOGNA
Frederik Sorensen;1992;20/03/2013 DF BOLOGNA
Roger De Carvalho;1986;20/03/2013 DF BOLOGNA
Edinaldo Gomes Pereira Naldo;1988;20/03/2013 DF BOLOGNA
Mathias Nicolas Villan Abero;1990;20/03/2013 DF BOLOGNA
Marco Maini;1995;20/03/2013 DF BOLOGNA
Uros Radakovic;1994;20/03/2013 DF BOLOGNA
Ruben Palomeque;1994;20/03/2013 DF BOLOGNA
Diego Fernando Aguado Perez;1980;20/03/2013 MF BOLOGNA
Panagiotis Panajot Gkergki Kone;1987;20/03/2013 MF BOLOGNA
Tiberio Guarente;1985;20/03/2013 MF BOLOGNA
Lazaros Christodoulopoulos;1986;20/03/2013 MF BOLOGNA
Rene' Krhin;1990;20/03/2013 MF BOLOGNA
Alessandro Diamanti;1983;20/03/2013 MF BOLOGNA
Michele Pazienza;1982;20/03/2013 MF BOLOGNA
Nico Pulzetti;1984;20/03/2013 MF BOLOGNA
Saphir Sliti Taider;1992;20/03/2013 MF BOLOGNA
Marti' Bataller Riverola;1991;20/03/2013 MF BOLOGNA
Nicola Pescatore;1994;20/03/2013 MF BOLOGNA
Daniele Paponi;1988;20/03/2013 FW BOLOGNA
Cristian Pasquato;1989;20/03/2013 FW BOLOGNA
Manolo Gabbiadini;1991;20/03/2013 FW BOLOGNA
Davide Moscardelli;1980;20/03/2013 FW BOLOGNA
Alberto Gilardino;1982;20/03/2013 FW BOLOGNA
Luca Veratti;1993;20/03/2013 FW BOLOGNA
Riccardo Benatti;1994;20/03/2013 FW BOLOGNA
Alessandro Capello;1995;20/03/2013 FW BOLOGNA
